"X","Y","crater_id","cfield_id"
38.5150269682,47.7681320658,629,7
38.5146569871,47.7683410977,630,7
38.5147695901,47.7679050131,631,7
38.5131663389,47.7684023654,632,7
38.512812444,47.7684095734,633,7
38.5135255959,47.7687231192,634,7
38.5137293535,47.7686834755,635,7
38.5158205507,47.7673716154,636,7
38.5166248573,47.7673427829,637,7
38.5159706879,47.7683699296,638,7
38.5155256383,47.7665895292,639,8
38.5157830164,47.7664201357,640,8
38.516228066,47.7665102387,641,8
38.515986774,47.7661390134,642,8
38.5167696325,47.7667949631,643,7
38.517080631,47.7663516573,644,7
38.5176597318,47.7660921595,645,20000
38.5181691259,47.7664489687,646,7
38.518297815,47.7669931881,647,7
38.5179171099,47.7673896357,648,7
38.5172361303,47.7673680114,649,7
38.5157883784,47.7657065145,650,8
38.5124416394,47.7698843044,651,7
38.5115352532,47.7696716278,652,7
38.5111759166,47.7697076747,653,7
38.5108004903,47.7697184888,654,7
38.511969675,47.7701330268,655,7
38.5122485631,47.7703024458,656,7
38.512039397,47.7703745388,657,7
38.5132032184,47.7702844225,658,7
38.5138092637,47.7699996541,659,7
38.5138360798,47.7702736085,660,7
38.5140291562,47.7704250038,661,7
38.5147371029,47.7696896512,662,7
38.5149087263,47.7702411666,663,7
38.5154933186,47.7696103479,664,7
38.5157453906,47.7693003427,665,7
38.5151661615,47.7704574456,666,7
38.5123504645,47.7685721838,667,7
38.5124416394,47.7686803269,668,7
38.5131227699,47.7688497505,669,7
38.5143616766,47.769657209,670,7
38.5102319877,47.7686695126,671,7
38.5099101938,47.7693904607,672,7
38.5094489558,47.7693183663,673,7
38.5090306237,47.7694337173,674,7
38.5089019061,47.7693508088,675,7
38.5085750365,47.7688542625,676,7
38.5087734321,47.7689371533,677,7
38.5086501051,47.7683100626,678,7
38.5084409854,47.7683100626,679,7
38.5168843561,47.7679270757,680,7
38.5171578203,47.7679126596,681,7
38.5174580948,47.7675486524,682,7
38.5156349998,47.7682370204,683,7
38.5163803239,47.7684424478,684,7
38.5165519093,47.7683559521,685,7
38.5060224038,47.768994172,686,7
38.5058347323,47.7691347256,687,7
38.5058347323,47.7692428436,688,7
38.5058561805,47.7693833965,689,7
38.5061296447,47.7694915139,690,7
38.5057060432,47.7695131374,691,7
38.5054915615,47.769639274,692,7
38.505191287,47.7701870639,693,7
38.5043119118,47.7702014794,694,7
38.5053360622,47.7699275852,695,7
38.5141935539,47.7675577869,696,7
38.5144670181,47.767564995,697,7
38.5147672926,47.7675361627,698,7
38.5130728392,47.7648227032,699,8
38.5124830143,47.7645848233,700,8
38.5135929574,47.7648875794,701,8
38.5114213297,47.7648299117,702,7
38.5154482246,47.765374148,703,8
38.5176772665,47.7690634856,704,7
38.5177791454,47.7691463761,705,7
38.5182778155,47.7689337436,706,7
38.5184762111,47.768901308,707,7
38.5186370724,47.7690454659,708,7
38.5195003615,47.7684255844,709,7
38.5197255673,47.7683859405,710,7
38.5198703425,47.7682021369,711,7
38.5204494433,47.7682057409,712,20000
38.5199025148,47.7676903665,713,7
38.519441379,47.7691067328,714,7
38.5202510476,47.7692508901,715,7
38.5211357849,47.7691571879,716,20000
38.521521852,47.7693121568,717,11
38.5138338562,47.7642601559,718,8
38.5123965099,47.7637121822,719,6
38.5132599903,47.7639068577,720,71
38.512675398,47.7634850598,721,71
38.5133350756,47.7636653157,722,71
38.5144828073,47.7644259889,723,8
38.5196434948,47.76047997,724,9
38.5188713605,47.7601447472,725,9
38.5202279576,47.7599537053,726,9
38.5203780948,47.7598960321,727,9
38.5205711284,47.7596365021,728,9
38.5209679196,47.7598671955,729,9
38.5206086627,47.7604943881,730,9
38.5215470204,47.7599104504,731,9
38.521740054,47.7599681236,732,9
38.5194987196,47.7588723228,733,9
38.5211234189,47.7588795321,734,9
38.5212896423,47.7587173228,735,9
38.5214022452,47.7587137182,736,9
38.5224103095,47.7599825418,737,9
38.522603343,47.7599861464,738,9
38.5227963766,47.7596437113,739,9
38.5225282744,47.7605520606,740,9
38.520640835,47.7611828494,741,9
38.5223459649,47.7611864539,742,9
